,Unnamed: 0,GID_0,GID_1_2,NAME_0,Province,began,ended,Year,month,duration,disaster,Damages USD,Deaths,N_D_USD,N_Deaths,Date,Days
45,716,PHL,PHL.5_1,Philippines,Albay,2009-09-29,2009-10-10,2009.0,2009-09,11 days,Tropical Cyclone,75494084.9091092,28.867274967538176,1566502261.864016,598.9959555764171,2009-09-29,1
46,736,PHL,PHL.5_1,Philippines,Albay,2009-07-23,2009-07-26,2009.0,2009-07,3 days,Tropical Cyclone,751223.6847749087,1.2274507286401994,11456161.192817356,18.71862361176304,2009-07-23,0
47,755,PHL,PHL.5_1,Philippines,Albay,2009-04-29,2009-05-05,2009.0,2009-04,6 days,Tropical Cyclone,12557963.110350069,6.168637326603728,69068797.10692537,33.927505296320504,2009-04-29,78
48,761,PHL,PHL.5_1,Philippines,Albay,2007-09-29,2007-09-30,2007.0,2007-09,1 days,Tropical Cyclone,80048.8594688185,1.2668689067421526,840513.0244225942,13.302123520792604,2007-09-29,3
49,773,PHL,PHL.5_1,Philippines,Albay,2007-08-17,2007-08-24,2007.0,2007-08,7 days,Tropical Cyclone,374237.4757660255,0.8536122045428409,1590509.2720056083,3.627851869307074,2007-08-17,3
50,777,PHL,PHL.5_1,Philippines,Albay,2006-12-11,2006-12-11,2006.0,2006-12,0 days,Tropical Cyclone,0.0,12.156817112503903,0.0,51.6664727281416,2006-12-11,2
51,781,PHL,PHL.5_1,Philippines,Albay,2005-09-15,2005-09-22,2005.0,2005-09,7 days,Tropical Cyclone,1564448.7987588958,2.5856387307901243,12124478.190381443,20.038700163623464,2005-09-15,46
52,797,PHL,PHL.5_1,Philippines,Albay,2004-11-30,2004-12-03,2004.0,2004-11,3 days,Tropical Cyclone,250914218.1488652,10.210451964762544,250914218.1488652,10.210451964762544,2004-11-30,0
53,810,PHL,PHL.5_1,Philippines,Albay,2004-05-13,2004-05-19,2004.0,2004-05,6 days,Tropical Cyclone,7379829.93388959,39.56550136345486,7379829.93388959,39.56550136345486,2004-05-13,77
54,811,PHL,PHL.5_1,Philippines,Albay,2003-07-30,2003-07-31,2003.0,2003-07,1 days,Tropical Cyclone,480095.593833833,0.0,1200238.9845845825,0.0,2003-07-30,6
55,814,PHL,PHL.5_1,Philippines,Albay,2003-06-15,2003-06-18,2003.0,2003-06,3 days,Tropical Cyclone,0.0,2.121443201622021,,14.319741610948643,2003-06-15,15
56,821,PHL,PHL.5_1,Philippines,Albay,1995-10-09,1995-10-26,1995.0,1995-10,17 days,Tropical Cyclone,22705474.22912309,20.73247535116653,312200270.6504425,285.07153607853985,1995-10-09,23
57,836,PHL,PHL.5_1,Philippines,Albay,1995-08-28,1995-08-28,1995.0,1995-08,0 days,Tropical Cyclone,0.0,1.239441461211043,0.0,9.295810959082822,1995-08-28,27
58,843,PHL,PHL.5_1,Philippines,Albay,1991-07-10,1991-07-10,1991.0,1991-07,0 days,Tropical Cyclone,552283794.4566302,26.693447021211817,1656851383.3698907,80.08034106363546,1991-07-10,235
